#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
 61053;12 30 50.11;+53 04 34.2; 6.20; 0.568;F9V       ;nor      ; -21.779; 0.0158; 0.0331;VC; 21; 0.0072; 4371;51418;Simbad;187.708901;+53.076608
 61073;12 31 01.39;+38 09 52.6; 8.50; 0.914;K0III     ;fa       ;  10.025; 0.0100; 0.3546;VC;  2; 0.2507; 2865;54144;Simbad;187.755741;+38.164605
 61078;12 31 04.37;+39 34 55.4; 6.79; 1.044;K1III     ;fa       ;   3.884; 0.0082; 0.0163;VC;  2; 0.0115; 1016;54755;Simbad;187.768264;+39.582047
 61264;12 33 19.12;+49 18 07.2; 8.14; 0.517;F8        ;nor      ;  23.640; 0.0101; 0.0125;VC;  3; 0.0072; 1442;54311;Simbad;188.329286;+49.301896
 61298;12 33 34.98;+07 16 51.3; 8.78; 0.697;G5        ;nor      ;  -7.580; 0.0088; 0.0382;VC;  2; 0.0270; 1007;55073;Simbad;188.395786;+07.280914
 61313;12 33 40.26;-54 55 24.3; 9.37; 0.940;K2V       ;nor      ;   0.727; 0.0094; 0.0122;VC;  4; 0.0061; 3379;54133;Simbad;188.417836;-54.923579
 61320;12 33 47.41;+33 23 04.9; 6.24; 1.051;K0III     ;fa       ; -42.311; 0.0080; 0.0028;VC;  2; 0.0057; 1330;54912;Simbad;188.447559;+33.384668
 61323;12 33 49.00;-23 30 55.7; 8.36; 0.563;G1V       ;nor      ;   4.480; 0.0098; 0.0149;VC;  4; 0.0074; 2904;54318;Simbad;188.454423;-23.515750
 61389;12 34 47.86;+21 32 51.8; 8.09; 0.513;G5        ;nor      ;   1.432; 0.0089; 0.0092;VC;  2; 0.0065;  330;54735;Simbad;188.699461;+21.547648
 61476;12 35 49.30;-20 27 56.9; 8.04; 0.692;G5V       ;nor      ;  -5.826; 0.0080; 0.0034;VC;  4; 0.0040; 2963;54050;Simbad;188.954759;-20.465864
 61483;12 35 51.78;+69 00 49.5; 7.40; 0.713;G5        ;nor      ; -21.688; 0.0088; 0.0304;VC;  2; 0.0215; 1005;55074;Simbad;188.965651;+69.013703
 61505;12 36 06.70;-42 51 07.8; 7.89; 0.666;G5V       ;nor      ;  45.141; 0.0088; 0.0160;VC;  4; 0.0080; 4151;53588;Simbad;189.027434;-42.852298
 61716;12 39 01.20;-56 54 38.0; 9.69; 0.790;G8/K0V    ;nor      ;   9.129; 0.0118; 0.0081;VC;  3; 0.0068; 1461;55454;Simbad;189.754558;-56.910718
 61811;12 40 04.17;+68 48 08.5; 7.88; 0.610;F8        ;nor      ;  -2.727; 0.0089; 0.0066;VC;  5; 0.0040; 1801;54612;Simbad;190.014423;+68.802443
 61858;12 40 40.73;-08 26 53.1; 7.26; 0.539;F8        ;nor      ;   0.124; 0.0277; 0.0223;VC;  3; 0.0160; 1461;55454;Simbad;190.169563;-08.448455
 61901;12 41 06.41;+15 22 39.2; 7.91; 1.109;K2        ;ni       ;  24.794; 0.0179; 0.1225;VC;  7; 0.0463; 3660;50998;Simbad;190.277002;+15.376664
 61971;12 41 59.60;-05 13 14.9; 8.06; 0.747;G5        ;nor      ;  23.269; 0.0119; 0.0132;VC;  3; 0.0076; 1152;54962;Simbad;190.498281;-05.220857
 61995;12 42 17.89;+33 41 19.8; 6.64; 1.074;K2III-IV  ;fa       ;  10.367; 0.0082; 0.0099;VC;  2; 0.0070; 1014;54754;Simbad;190.573892;+33.688580
 61998;12 42 19.79;-39 56 10.1; 8.44; 0.715;G8V       ;nor      ;  -7.590; 0.0080; 0.0023;VC;  4; 0.0040; 3030;54364;Simbad;190.582419;-39.936297
 62039;12 42 59.46;-04 02 56.0; 7.83; 0.675;G0        ;ni,nor   ;  35.583; 0.0083; 0.0352;VC;  6; 0.0144; 4394;53669;Simbad;190.747188;-04.049330
 62127;12 43 58.42;-35 07 22.1; 8.29; 0.672;G3/G5V    ;nor      ;   1.147; 0.0141; 0.0049;VC;  2; 0.0100; 1128;55153;Simbad;190.993176;-35.123107
 62240;12 45 23.26;+04 21 37.8; 9.50; 0.606;G5        ;nor      ; -34.856; 0.0095; 0.0255;VC;  2; 0.0180; 1331;54911;Simbad;191.346938;+04.359959
 62304;12 46 00.99;-09 18 46.4; 8.05; 0.654;G5        ;nor      ;  52.669; 0.0076; 0.0202;VC;  6; 0.0083; 4672;54354;Simbad;191.504891;-09.313414
 62408;12 47 21.05;-19 00 15.9; 7.23; 0.674;G3V       ;nor      ;  10.524; 0.0098; 0.0085;VC;  2; 0.0069; 1123;55153;Simbad;191.837499;-19.004459
 62523;12 48 47.26;+24 50 25.7; 6.29; 0.703;G7V       ;nor      ;  -8.936; 0.0048; 0.0262;VC; 17; 0.0064; 1835;53897;Simbad;192.196035;+24.840226
 62585;12 49 27.02;+05 10 20.3; 7.56; 0.579;F8        ;nor      ;  -6.139; 0.0083; 0.0417;VC;  2; 0.0295;  691;54915;Simbad;192.362867;+05.172145
 62589;12 49 31.86;-45 49 32.5; 8.30; 1.400;K3IV      ;IAU_std  ; -18.698; 0.0110; 0.0007;VC;  2; 0.0078;    3;54590;Simbad;192.382571;-45.825781
 62632;12 50 01.70;-07 11 49.7; 8.25; 0.707;G5        ;nor      ;  45.613; 0.0102; 0.0278;VC;  3; 0.0160; 1142;54959;Simbad;192.507241;-07.197477
 62653;12 50 17.23;+22 51 48.8; 6.43; 1.002;K0III     ;fa       ;   5.844; 0.0082; 0.0431;VC;  2; 0.0305;  651;54572;Simbad;192.572067;+22.863408
 62661;12 50 20.48;-30 34 37.8; 7.61; 0.603;G0V       ;nor      ;  -4.636; 0.0157; 0.0014;VC;  2; 0.0111; 1123;55153;Simbad;192.584132;-30.577103
 62687;12 50 43.58;-00 46 01.8; 8.49; 1.409;M0.5V     ;ni,nor   ;   4.921; 0.0114; 0.2423;VC;  3; 0.1399; 1126;55293;Simbad;192.681531;-00.768132
 62747;12 51 25.36;-13 29 25.4; 7.97; 0.800;G6V       ;nor      ;  21.351; 0.0134; 0.0394;VC;  4; 0.0197; 2593;54500;Simbad;192.854978;-13.491159
 62857;12 53 01.70;+26 47 40.1; 7.66; 0.623;G0IV      ;nor      ; -12.158; 0.0053; 0.0203;VC; 12; 0.0059; 1503;54120;Simbad;193.256442;+26.794231
 63048;12 55 08.27;+27 45 59.5; 7.80; 0.665;G2V       ;ni,nor   ; -39.323; 0.0086; 0.0247;VC;  2; 0.0175;  327;54734;Simbad;193.784437;+27.766359
 63075;12 55 28.25;+25 44 18.1; 8.39; 0.580;F8V       ;IAU_std  ;   4.044; 0.0103; 0.0530;VC;  2; 0.0375; 1834;53983;Simbad;193.867784;+25.738067
 63535;13 01 11.61;-79 00 21.2; 9.09; 0.653;G3V       ;nor      ;  24.732; 0.0188;       ;VC;  1; 0.0188;     ;56050;Simbad;195.297925;-79.006000
 63689;13 03 05.90;-68 47 42.6; 8.56; 0.549;F7V       ;nor      ;  24.177; 0.0167; 0.0099;VC;  2; 0.0118; 1123;55153;Simbad;195.774603;-68.795138
 63732;13 03 37.03;-11 34 56.6; 7.88; 0.623;G5        ;nor      ;  36.426; 0.0109; 0.0237;VC;  3; 0.0137; 1142;54960;Simbad;195.904189;-11.582613
 63881;13 05 29.71;+16 05 45.4; 8.80; 0.683;G8V       ;nor      ;  17.211; 0.0083; 0.0320;VC;  5; 0.0143; 1468;54762;Simbad;196.373707;+16.095381
 64029;13 07 18.53;+71 23 39.5; 7.66; 0.984;K0        ;fa       ; -26.383; 0.0082; 0.0488;VC;  2; 0.0345; 1330;54911;Simbad;196.827145;+71.394371
 64041;13 07 30.39;+03 56 14.0; 8.15; 0.574;G0        ;nor      ;  -0.369; 0.0101; 0.0528;VC;  4; 0.0264; 1799;54188;Simbad;196.876644;+03.937080
 64150;13 08 50.97;+05 12 31.9; 6.78; 0.667;G5IV      ;ni,nor   ;  24.195; 0.0149; 0.2690;VC; 31; 0.0483; 5065;51665;Simbad;197.212597;+05.207241
 64182;13 09 15.34;+23 53 35.0; 8.13; 0.616;G5        ;nor      ; -29.922; 0.0083; 0.0897;VC; 14; 0.0240; 1803;54529;Simbad;197.313394;+23.893012
 64349;13 11 24.21;+73 51 21.0; 9.35; 0.584;G0        ;nor      ; -35.943; 0.0091; 0.0042;VC;  2; 0.0065;  689;54917;Simbad;197.848262;+73.855912
 64355;13 11 28.72;+40 47 33.0; 7.17; 0.939;K0        ;fa       ;   0.510; 0.0098; 0.0962;VC;  2; 0.0680; 2914;53441;Simbad;197.869544;+40.792496
 64457;13 12 43.87;-02 15 54.2; 7.56; 0.930;K0        ;ni,nor   ; -11.907; 0.0063; 0.0159;VC;  9; 0.0053; 4420;53322;Simbad;198.182442;-02.265040
 64459;13 12 44.39;-31 52 21.4; 6.68; 0.591;G0V       ;ni,nor   ;  64.989; 0.0075; 0.0028;VC;  4; 0.0037; 3741;53290;Simbad;198.184406;-31.873349
 64538;13 13 41.09;+46 28 34.6; 8.55; 0.640;G5        ;nor      ;  -3.235; 0.0084; 0.0190;VC;  4; 0.0095; 1113;55380;Simbad;198.420950;+46.476185
 64544;13 13 45.23;-26 30 57.0; 8.62; 0.649;G5V       ;nor      ;  48.441; 0.0274;       ;VC;  1; 0.0274;     ;56041;Simbad;198.438586;-26.516009
 64550;13 13 52.32;-45 11 07.9; 6.93; 0.643;G2V       ;nor      ;  58.762; 0.0058; 0.0042;VC;  9; 0.0019; 3741;53107;Simbad;198.467607;-45.185800
 64698;13 15 37.18;+09 00 58.8; 8.42; 0.667;G5        ;nor      ;  -6.860; 0.0053; 0.0031;VC;  6; 0.0022; 2180;53141;Simbad;198.904032;+09.016030
 64747;13 16 11.06;+35 53 10.6; 8.29; 0.640;G2V       ;nor      ; -46.513; 0.0088; 0.0485;VC;  6; 0.0198; 2548;54955;Simbad;199.046877;+35.885869
 64783;13 16 40.08;-05 34 24.2; 7.84; 0.588;G0        ;nor      ;  19.289; 0.0158; 0.0106;VC;  2; 0.0112;  737;54960;Simbad;199.166966;-05.573504
 64905;13 18 13.67;-14 34 54.1; 9.57; 0.864;G8IV      ;ni       ; -21.545; 0.0115; 0.0379;VC;  9; 0.0126; 1477;55513;Simbad;199.556400;-14.582096
 64944;13 18 45.36;-17 08 01.3; 7.46; 0.611;G2V       ;nor      ;   9.129; 0.0211; 0.0028;VC;  2; 0.0149;  737;54960;Simbad;199.689071;-17.133686
 64984;13 19 06.88;+02 54 12.8; 7.69; 0.671;G5        ;nor      ; -41.672; 0.0082; 0.0057;VC;  2; 0.0058;  676;55239;Simbad;199.778006;+02.903458
 64985;13 19 08.50;-37 40 04.0; 8.60; 0.554;F6/F7V    ;nor      ; -10.242; 0.0248; 0.1329;VC;  2; 0.0940;  740;54959;Simbad;199.785484;-37.667835
 65028;13 19 47.30;+36 22 25.8; 7.65; 1.039;G5        ;nor      ;   2.290; 0.0092; 0.1223;VC;  2; 0.0865;  328;54738;Simbad;199.946954;+36.373915
 65121;13 20 44.07;+04 07 56.8; 8.58; 0.939;K2V       ;nor      ; -21.173; 0.0085; 0.0566;VC;  2; 0.0400;  676;55239;Simbad;200.182395;+04.132947
 65165;13 21 12.35;+61 05 05.0; 8.48; 0.760;G5        ;nor      ; -21.754; 0.0087; 0.0072;VC;  6; 0.0035; 2144;54807;Simbad;200.300034;+61.084805
 65216;13 21 56.64;+22 18 39.3; 8.27; 0.571;G0V       ;nor      ; -10.842; 0.0089; 0.1556;VC;  2; 0.1100;  325;54736;Simbad;200.485752;+22.310822
 65218;13 21 57.11;-38 51 15.7; 7.12; 0.621;G1/G2IV   ;nor      ;  21.412; 0.0173; 0.0028;VC;  2; 0.0122;  737;54960;Simbad;200.487729;-38.854513
 65275;13 22 43.71;-18 01 50.9; 8.07; 0.721;G5/G6V    ;nor      ;  15.696; 0.0133; 0.0078;VC;  3; 0.0077; 1462;55322;Simbad;200.681695;-18.030905
 65356;13 23 41.18;-15 07 04.3; 8.18; 0.661;G3V       ;nor      ;  -4.119; 0.0165; 0.0021;VC;  2; 0.0116;  741;54958;Simbad;200.921731;-15.118017
 65515;13 25 45.77;+56 58 13.7; 7.29; 0.804;G9IV-V    ;nor      ; -12.149; 0.0087; 0.0387;VC; 42; 0.0060; 3820;53060;Simbad;201.439717;+56.970493
 65530;13 26 00.37;+63 15 38.7; 6.50; 0.739;G6V       ;nor      ; -30.934; 0.0055; 0.0134;VC; 33; 0.0023; 5107;52487;Simbad;201.499409;+63.261275
 65556;13 26 26.11;+23 33 30.6; 8.40; 1.030;K0        ;fa       ; -31.124; 0.0097; 0.0113;VC;  2; 0.0080;  655;54574;Simbad;201.608283;+23.558629
 65767;13 29 01.30;+15 54 38.4; 8.81; 1.022;K0        ;fa       ;  -6.973; 0.0111; 0.3221;VC;  2; 0.2277; 2891;53456;Simbad;202.255374;+15.910665
 65808;13 29 21.26;-35 34 15.0; 7.26; 0.724;G8IV/V    ;ni,nor   ; -17.399; 0.0078; 0.0256;VC;  4; 0.0128; 4641;53989;Simbad;202.337974;-35.570997
 65859;13 29 59.12;+10 22 47.2; 9.05; 1.493;M1V       ;ni       ;  14.386; 0.0087; 0.1918;VC; 40; 0.0303; 1516;54845;Simbad;202.499108;+10.377162
 65867;13 30 01.17;+19 03 42.6; 7.23; 1.022;K0        ;fa       ;   3.080; 0.0097; 0.0909;VC;  2; 0.0643; 2918;53443;Simbad;202.504915;+19.062112
 65900;13 30 31.12;+44 34 58.5; 8.35; 0.641;G5III     ;nor      ; -25.640; 0.0095; 0.0318;VC;  3; 0.0184; 1734;54664;Simbad;202.629217;+44.582846
 65945;13 31 10.45;+21 19 59.8; 8.84; 1.090;K0        ;fa       ; -32.746; 0.0085; 0.0021;VC;  2; 0.0060;  332;54736;Simbad;202.793473;+21.333292
 66032;13 32 16.24;-47 25 06.1; 9.17; 0.889;K2IV/Vp...;nor      ;   4.126; 0.0092; 0.0114;VC;  4; 0.0057; 2905;54390;Simbad;203.067151;-47.418542
 66051;13 32 30.91;+36 02 09.0; 7.96; 0.590;G0        ;nor      ; -28.749; 0.0049; 0.0149;VC;  7; 0.0056; 2539;54282;Simbad;203.129050;+36.035129
 66147;13 33 32.70;+08 35 11.5; 7.98; 1.026;K0        ;ni       ;  -6.017; 0.0169; 0.0162;VC;  5; 0.0076; 1817;50361;Simbad;203.385001;+08.586764
 66238;13 34 32.31;-38 54 22.5; 7.29; 0.669;G3V       ;nor      ;  82.343; 0.0074; 0.0276;VC;  4; 0.0138; 3942;53525;Simbad;203.636040;-38.907211
 66459;13 37 28.54;+35 43 04.5; 9.06; 1.391;M9        ;ni       ; -14.937; 0.0094; 0.0955;VC;  2; 0.0675;  652;54573;Simbad;204.369868;+35.717763
 66509;13 38 00.39;+19 08 55.9; 8.81; 0.668;G5        ;nor      ; -44.917; 0.0085; 0.0314;VC;  4; 0.0157; 1119;55028;Simbad;204.501962;+19.148085
 66621;13 39 21.22;+31 46 26.9; 8.89; 0.661;G0        ;ni       ;  16.528; 0.0088; 0.0424;VC;  2; 0.0300;  653;54573;Simbad;204.838459;+31.774162
 66637;13 39 34.38;+01 05 18.5; 7.97; 0.561;F8        ;nor      ;  -8.362; 0.0092; 0.0184;VC;  2; 0.0130; 1115;55131;Simbad;204.893021;+01.088369
 66754;13 40 56.39;-54 49 11.1; 8.46; 0.646;G3V       ;nor      ;  19.128; 0.0088; 0.0088;VC;  4; 0.0044; 3201;54511;Simbad;205.234663;-54.819849
 66765;13 41 04.02;-34 27 49.5; 6.92; 0.855;K1V       ;nor      ;  -7.098; 0.0087; 0.0233;VC;  4; 0.0116; 4308;53865;Simbad;205.267380;-34.464156
 66856;13 42 05.34;+22 37 12.8; 8.27; 1.170;K0        ;fa       ; -11.868; 0.0082; 0.0516;VC;  2; 0.0365; 1117;55130;Simbad;205.522157;+22.620260
 66971;13 43 35.19;+35 20 45.6; 8.55; 1.100;K2III     ;fa       ; -47.977; 0.0083; 0.0028;VC;  2; 0.0059;  327;54736;Simbad;205.896546;+35.346032
 66974;13 43 35.89;+14 21 56.3; 6.92; 0.631;G2V       ;nor      ;   5.597; 0.0050; 0.0044;VC; 29; 0.0009; 4333;52931;Simbad;205.898749;+14.365610
 67052;13 44 27.60;+77 13 51.3; 9.44; 0.660;G5        ;nor      ; -93.297; 0.0089; 0.0014;VC;  2; 0.0063;  788;55295;Simbad;206.113199;+77.230792
 67155;13 45 42.70;+14 53 42.2; 8.46; 1.435;M3V       ;ni       ;  15.570; 0.0069; 0.1649;VC;  4; 0.0824; 5628;53688;Simbad;206.432403;+14.891520
 67177;13 46 00.50;+37 31 30.5; 7.59; 0.558;F8        ;nor      ; -20.376; 0.0085; 0.0231;VC; 32; 0.0041; 1146;55049;Simbad;206.501488;+37.525006
 67203;13 46 17.62;-30 28 28.0; 8.21; 0.612;G1V       ;nor      ;  -1.331; 0.0087; 0.0131;VC;  4; 0.0065; 2906;54420;Simbad;206.573501;-30.474484
 67240;13 46 45.73;-20 51 10.3; 8.10; 0.529;G5V       ;nor      ; -39.350; 0.0055; 0.0027;VC;  9; 0.0018;  737;54920;Simbad;206.690204;-20.852559
 67246;13 46 57.42;+06 21 02.3; 6.33; 0.630;G0V       ;ni,nor   ; -30.506; 0.0061; 0.0103;VC; 62; 0.0013; 5162;52565;Simbad;206.738009;+06.350375
 67364;13 48 24.62;+23 26 57.4; 7.97; 1.196;K0        ;fa       ;  -8.385; 0.0082; 0.0099;VC;  2; 0.0070;  327;54736;Simbad;207.102618;+23.449260
 67366;13 48 26.10;-04 42 33.7; 8.76; 0.555;G0        ;nor      ;  -8.409; 0.0209; 0.0113;VC;  2; 0.0148;  741;54958;Simbad;207.108871;-04.709740
 67371;13 48 31.79;-55 36 52.9; 7.95; 0.724;G2IV/V    ;nor      ;   5.647; 0.0161; 0.0799;VC;  2; 0.0565;  741;54958;Simbad;207.131836;-55.614885
 67392;13 48 42.90;+42 20 15.9; 7.08; 1.096;K2        ;fa       ; -15.150; 0.0082; 0.1032;VC;  2; 0.0730;  326;54735;Simbad;207.178591;+42.337620
 67487;13 49 45.91;-22 06 35.6; 8.16; 1.257;K4/K5V    ;ni,nor   ; -37.724; 0.0155; 0.0014;VC;  2; 0.0109;  739;54959;Simbad;207.436695;-22.111093
 67608;13 51 12.05;+27 07 43.6; 8.21; 1.127;K1III     ;fa       ; -21.690; 0.0097; 0.3543;VC;  2; 0.2505;  329;54737;Simbad;207.800216;+27.128798
 67791;13 53 15.69;-56 41 54.7; 9.06; 0.515;F7V       ;nor      ;  27.614; 0.0276; 0.0219;VC;  2; 0.0195;  741;54958;Simbad;208.315566;-56.698568
 67879;13 54 09.90;+03 09 14.8; 8.21; 0.543;G0        ;nor      ;  -9.092; 0.0090; 0.0757;VC;  2; 0.0535; 1115;55131;Simbad;208.541291;+03.153953
 67904;13 54 28.07;+20 38 31.1; 7.89; 0.687;G0        ;nor      ; -11.844; 0.0083; 0.0028;VC;  2; 0.0059;  326;54737;Simbad;208.617508;+20.641780
 68003;13 55 32.59;+51 13 12.6; 8.70; 0.554;F8        ;nor      ;   8.182; 0.0104; 0.0205;VC;  2; 0.0145; 1115;55131;Simbad;208.885696;+51.220221
 68030;13 55 50.17;+14 03 23.3; 6.16; 0.518;F6V       ;ni,nor   ; -10.434; 0.0046; 0.0135;VC; 32; 0.0024; 2203;54740;Simbad;208.958306;+14.056503
 68090;13 56 27.19;-16 11 46.4; 9.32; 0.807;G8/K0V    ;nor      ; -10.933; 0.0147; 0.0021;VC;  2; 0.0104;  739;54959;Simbad;209.112734;-16.196216
 68107;13 56 36.53;-10 02 02.0; 7.68; 0.541;F8        ;nor      ; -43.158; 0.0082; 0.0146;VC;  5; 0.0065; 4381;54263;Simbad;209.151615;-10.033951
 68134;13 56 55.01;+44 16 57.0; 7.65; 0.612;G0        ;nor      ;  21.119; 0.0092; 0.0473;VC;  3; 0.0273; 2266;54562;Simbad;209.229125;+44.282532
 68184;13 57 32.10;+61 29 32.4; 6.49; 1.040;K3V       ;ni       ; -26.543; 0.0309; 0.1014;VC;  3; 0.0586;  444;51717;Simbad;209.383573;+61.492861
 68337;13 59 19.51;+22 52 11.0; 9.05; 1.160;K         ;ni       ; -57.294; 0.0306; 0.2772;VC;  2; 0.1960; 1509;52325;Simbad;209.830844;+22.869754
 68469;14 01 03.67;-02 39 22.8; 9.71; 1.461;K5        ;ni       ; -25.646; 0.0116; 0.0085;VC;  2; 0.0082;  739;54959;Simbad;210.263285;-02.654864
 68517;14 01 37.27;+16 45 27.4; 7.38; 0.529;F8        ;nor      ; -30.577; 0.0090; 0.1054;VC;  2; 0.0745;  788;55295;Simbad;210.404965;+16.757676
 68602;14 02 33.55;-35 47 48.0; 8.57; 0.716;G5V       ;nor      ; -13.199; 0.0243; 0.0255;VC;  2; 0.0180;  741;54958;Simbad;210.639532;-35.796858
 68621;14 02 49.94;+54 39 58.0; 8.01; 0.690;G5        ;nor      ; -21.915; 0.0083; 0.0028;VC;  2; 0.0059; 1015;54754;Simbad;210.708011;+54.666099
 68792;14 04 51.78;+58 52 02.9; 7.58; 0.635;G5        ;nor      ; -32.407; 0.0112; 0.0151;VC;  5; 0.0068; 2538;54140;Simbad;211.214920;+58.867508
 68805;14 05 10.75;-09 02 54.6; 8.08; 0.612;G0        ;nor      ; -11.875; 0.0085; 0.0200;VC;  5; 0.0089; 3258;54499;Simbad;211.294546;-09.048506
 69090;14 08 27.71;-74 51 02.6; 6.02; 0.581;G1V       ;nor      ; -21.080; 0.0078; 0.0048;VC;  4; 0.0039; 4064;54298;Simbad;212.113192;-74.850285
 69157;14 09 25.01;-34 52 58.0; 7.77; 0.520;F6V       ;nor      ;   5.304; 0.0214; 0.0758;VC;  3; 0.0438; 1462;55322;Simbad;212.354037;-34.882907
 69166;14 09 29.14;+38 41 27.6; 8.95; 0.624;G5III     ;nor      ; -16.822; 0.0109; 0.1011;VC;  2; 0.0715;  788;55295;Simbad;212.371374;+38.690893
 69202;14 10 04.89;-46 16 09.0; 8.19; 0.572;G1V       ;nor      ; -20.853; 0.0091; 0.0143;VC;  3; 0.0083; 1823;54474;Simbad;212.520064;-46.269452
 69357;14 11 46.32;-12 36 40.8; 7.93; 0.865;K1V       ;ni,nor   ;   3.373; 0.0060; 0.0191;VC; 12; 0.0055; 3962;53513;Simbad;212.942379;-12.611766
 69411;14 12 42.06;+15 39 44.9; 8.56; 0.542;G5        ;nor      ; -14.977; 0.0112; 0.1329;VC;  2; 0.0940;  791;55294;Simbad;213.175049;+15.662435
 69414;14 12 45.33;-03 19 09.5; 7.05; 0.733;G0        ;ni,nor   ;  37.864; 0.0059; 0.0232;VC; 10; 0.0073; 4501;52871;Simbad;213.188499;-03.320084
 69518;14 13 51.45;+46 19 30.5; 7.17; 0.530;G0        ;ni,nor   ; -14.465; 0.0135; 0.0813;VC;  2; 0.0575; 1442;54968;Simbad;213.463862;+46.325167
 69526;14 13 57.34;+30 13 00.3; 8.03; 1.064;K5        ;ni       ; -16.117; 0.0170; 0.0198;VC;  7; 0.0075; 3631;50794;Simbad;213.487825;+30.217187
 69564;14 14 21.49;-05 56 52.5; 6.36; 0.593;F9V       ;nor      ; -32.939; 0.0075; 0.0077;VC;  5; 0.0035; 4390;54087;Simbad;213.588784;-05.947717
 69570;14 14 24.92;-48 08 46.8; 8.23; 0.670;G5V       ;nor      ; -24.029; 0.0094; 0.0031;VC;  4; 0.0047; 4043;54586;Simbad;213.603433;-48.146634
 69660;14 15 24.81;-37 57 31.9; 8.76; 0.610;G1/G2V    ;nor      ;  -3.985; 0.0156; 0.0186;VC;  3; 0.0108; 1453;55319;Simbad;213.852880;-37.959159
 69667;14 15 36.16;+58 45 05.1; 9.61; 0.579;F8Vm      ;nor      ;  28.835; 0.0116; 0.0339;VC;  2; 0.0240; 1690;55092;Simbad;213.900583;+58.751476
 69680;14 15 48.92;+34 35 09.5; 8.53; 0.671;G0        ;nor      ; -20.008; 0.0085; 0.0021;VC;  2; 0.0060;  326;54736;Simbad;213.953694;+34.586219
 69709;14 16 05.60;+50 10 07.7; 7.78; 0.615;G5        ;nor      ; -47.246; 0.0093; 0.0143;VC;  6; 0.0058; 4362;54014;Simbad;214.022190;+50.169244
 69738;14 16 26.34;+58 04 58.2; 8.07; 0.594;F9V       ;nor      ; -22.177; 0.0088; 0.0096;VC;  6; 0.0039; 2260;55017;Simbad;214.109063;+58.083131
 69780;14 16 57.61;-50 16 52.8; 8.66; 0.573;F8/G0w... ;nor      ;  53.649; 0.0212; 0.0078;VC;  2; 0.0150;  739;54959;Simbad;214.239161;-50.281359
